Date,Rate
20070709,4.73
20070710,4.65
20070711,4.65
20070712,4.692
20070713,4.684
20070716,4.648
20070717,4.665
20070718,4.614
20070719,4.617
20070720,4.51
20070723,4.506
20070724,4.497
20070725,4.474
20070726,4.408
20070727,4.401
20070730,4.388
20070731,4.428
20070801,4.433
20070802,4.451
20070803,4.399
20070806,4.402
20070807,4.423
20070808,4.499
20070809,4.466
20070810,4.436
20070813,4.448
20070814,4.436
20070815,4.406
20070816,4.318
20070817,4.35
20070820,4.34
20070821,4.299
20070822,4.361
20070823,4.337
20070824,4.33
20070827,4.321
20070828,4.297
20070829,4.295
20070830,4.302
20070831,4.314
20070903,4.335
20070904,4.346
20070905,4.285
20070906,4.281
20070907,4.213
20070910,4.163
20070911,4.194
20070912,4.223
20070913,4.263
20070914,4.261
20070917,4.25
20070918,4.311
20070919,4.364
20070920,4.413
20070921,4.43
20070924,4.436
20070925,4.395
20070926,4.449
20070927,4.441
20070928,4.394
20071001,4.386
20071002,4.379
20071003,4.393
20071004,4.345
20071005,4.403
20071008,4.41
20071009,4.377
20071010,4.405
20071011,4.444
20071012,4.475
20071015,4.483
20071016,4.491
20071017,4.456
20071018,4.389
20071019,4.297
20071022,4.257
20071023,4.263
20071024,4.21
20071025,4.22
20071026,4.232
20071029,4.233
20071030,4.253
20071031,4.306
20071101,4.274
20071102,4.237
20071105,4.23
20071106,4.248
20071107,4.255
20071108,4.233
20071109,4.195
20071112,4.211
20071113,4.235
20071114,4.255
20071115,4.229
20071116,4.215
20071119,4.166
20071120,4.182
20071121,4.151
20071122,4.155
20071123,4.167
20071126,4.165
20071127,4.178
20071128,4.253
20071129,4.207
20071130,4.265
20071203,4.206
20071204,4.165
20071205,4.167
20071206,4.213
20071207,4.32
20071210,4.384
20071211,4.361
20071212,4.431
20071213,4.407
20071214,4.434
20071217,4.414
20071218,4.405
20071219,4.407
20071220,4.372
20071221,4.432
20071224,4.433
20071225,4.433
20071226,4.427
20071227,4.469
20071228,4.438
20071231,4.432
20080101,4.428
20080102,4.302
20080103,4.292
20080104,4.244
20080107,4.242
20080108,4.261
20080109,4.202
20080110,4.207
20080111,4.201
20080114,4.16
20080115,4.129
20080116,4.082
20080117,4.074
20080118,4.071
20080121,4.015
20080122,4.086
20080123,4.002
20080124,4.112
20080125,4.092
20080128,4.067
20080129,4.116
20080130,4.146
20080131,4.051
20080201,4.024
20080204,4.034
20080205,3.953
20080206,3.995
20080207,3.981
20080208,3.959
20080211,3.956
20080212,4.044
20080213,4.055
20080214,4.109
20080215,4.067
20080218,4.12
20080219,4.096
20080220,4.127
20080221,4.115
20080222,4.106
20080225,4.138
20080226,4.186
20080227,4.2
20080228,4.099
20080229,3.989
20080303,3.979
20080304,3.95
20080305,4.043
20080306,4.006
20080307,4.01
20080310,3.939
20080311,3.972
20080312,3.947
20080313,3.945
20080314,3.925
20080317,3.897
20080318,3.978
20080319,3.978
20080320,3.969
20080321,3.97
20080324,3.973
20080325,4.098
20080326,4.103
20080327,4.148
20080328,4.147
20080331,4.111
20080401,4.175
20080402,4.173
20080403,4.286
20080404,4.251
