Date,Rate
20070709,4.747
20070710,4.668
20070711,4.662
20070712,4.71
20070713,4.706
20070716,4.674
20070717,4.693
20070718,4.644
20070719,4.645
20070720,4.534
20070723,4.535
20070724,4.528
20070725,4.51
20070726,4.452
20070727,4.45
20070730,4.458
20070731,4.488
20070801,4.488
20070802,4.508
20070803,4.448
20070806,4.452
20070807,4.469
20070808,4.544
20070809,4.507
20070810,4.483
20070813,4.498
20070814,4.479
20070815,4.454
20070816,4.376
20070817,4.414
20070820,4.401
20070821,4.355
20070822,4.421
20070823,4.399
20070824,4.394
20070827,4.386
20070828,4.374
20070829,4.376
20070830,4.388
20070831,4.4
20070903,4.424
20070904,4.435
20070905,4.369
20070906,4.373
20070907,4.304
20070910,4.27
20070911,4.288
20070912,4.316
20070913,4.348
20070914,4.347
20070917,4.336
20070918,4.401
20070919,4.459
20070920,4.503
20070921,4.528
20070924,4.524
20070925,4.492
20070926,4.548
20070927,4.537
20070928,4.488
20071001,4.481
20071002,4.468
20071003,4.47
20071004,4.422
20071005,4.48
20071008,4.483
20071009,4.449
20071010,4.475
20071011,4.508
20071012,4.536
20071015,4.544
20071016,4.552
20071017,4.521
20071018,4.456
20071019,4.358
20071022,4.324
20071023,4.33
20071024,4.282
20071025,4.296
20071026,4.315
20071029,4.306
20071030,4.323
20071031,4.373
20071101,4.341
20071102,4.312
20071105,4.309
20071106,4.323
20071107,4.305
20071108,4.297
20071109,4.265
20071112,4.279
20071113,4.305
20071114,4.323
20071115,4.305
20071116,4.29
20071119,4.25
20071120,4.262
20071121,4.241
20071122,4.244
20071123,4.251
20071126,4.247
20071127,4.271
20071128,4.336
20071129,4.302
20071130,4.352
20071203,4.314
20071204,4.271
20071205,4.267
20071206,4.3
20071207,4.393
20071210,4.451
20071211,4.427
20071212,4.487
20071213,4.479
20071214,4.503
20071217,4.474
20071218,4.454
20071219,4.452
20071220,4.42
20071221,4.482
20071224,4.479
20071225,4.465
20071226,4.47
20071227,4.516
20071228,4.479
20071231,4.468
20080101,4.464
20080102,4.343
20080103,4.338
20080104,4.284
20080107,4.288
20080108,4.316
20080109,4.272
20080110,4.282
20080111,4.276
20080114,4.238
20080115,4.212
20080116,4.182
20080117,4.173
20080118,4.172
20080121,4.115
20080122,4.203
20080123,4.099
20080124,4.207
20080125,4.19
20080128,4.159
20080129,4.202
20080130,4.22
20080131,4.202
20080201,4.176
20080204,4.185
20080205,4.093
20080206,4.144
20080207,4.131
20080208,4.121
20080211,4.127
20080212,4.223
20080213,4.222
20080214,4.26
20080215,4.221
20080218,4.268
20080219,4.253
20080220,4.283
20080221,4.278
