Date,Rate
20070709,4.738
20070710,4.697
20070711,4.657
20070712,4.668
20070713,4.68
20070716,4.683
20070717,4.686
20070718,4.674
20070719,4.672
20070720,4.649
20070723,4.621
20070724,4.634
20070725,4.619
20070726,4.612
20070727,4.602
20070730,4.588
20070731,4.601
20070801,4.593
20070802,4.594
20070803,4.578
20070806,4.579
20070807,4.589
20070808,4.594
20070809,4.577
20070810,4.552
20070813,4.551
20070814,4.517
20070815,4.497
20070816,4.445
20070817,4.488
20070820,4.512
20070821,4.481
20070822,4.537
20070823,4.55
20070824,4.556
20070827,4.574
20070828,4.552
20070829,4.578
20070830,4.619
20070831,4.645
20070903,4.639
20070904,4.628
20070905,4.63
20070906,4.63
20070907,4.591
20070910,4.574
20070911,4.566
20070912,4.578
20070913,4.586
20070914,4.584
20070917,4.575
20070918,4.598
20070919,4.604
20070920,4.63
20070921,4.637
20070924,4.626
20070925,4.583
20070926,4.618
20070927,4.604
20070928,4.602
20071001,4.592
20071002,4.584
20071003,4.573
20071004,4.571
20071005,4.582
20071008,4.582
20071009,4.57
20071010,4.59
20071011,4.614
20071012,4.63
20071015,4.653
20071016,4.649
20071017,4.639
20071018,4.59
20071019,4.554
20071022,4.503
20071023,4.516
20071024,4.506
20071025,4.497
20071026,4.511
20071029,4.478
20071030,4.494
20071031,4.519
20071101,4.54
20071102,4.523
20071105,4.532
20071106,4.561
20071107,4.605
20071108,4.63
20071109,4.613
20071112,4.609
20071113,4.609
20071114,4.614
20071115,4.571
20071116,4.543
20071119,4.518
20071120,4.555
20071121,4.548
20071122,4.554
20071123,4.592
20071126,4.615
20071127,4.624
20071128,4.651
20071129,4.589
20071130,4.601
20071203,4.578
20071204,4.571
20071205,4.555
20071206,4.573
20071207,4.623
20071210,4.693
20071211,4.711
20071212,4.744
20071213,4.752
20071214,4.764
20071217,4.771
20071218,4.788
20071219,4.772
20071220,4.776
20071221,4.777
20071224,4.768
20071225,4.768
20071226,4.768
20071227,4.778
20071228,4.764
20071231,4.765
20080101,4.785
20080102,4.739
20080103,4.657
20080104,4.613
20080107,4.606
20080108,4.596
20080109,4.6
20080110,4.602
20080111,4.647
20080114,4.618
20080115,4.599
20080116,4.6
20080117,4.593
20080118,4.598
20080121,4.561
20080122,4.563
20080123,4.512
20080124,4.56
20080125,4.555
20080128,4.526
20080129,4.543
20080130,4.569
20080131,4.555
20080201,4.564
20080204,4.578
20080205,4.543
20080206,4.534
20080207,4.477
20080208,4.499
20080211,4.514
20080212,4.576
20080213,4.565
20080214,4.597
20080215,4.564
20080218,4.572
20080219,4.576
20080220,4.625
20080221,4.63
20080222,4.6
20080225,4.621
20080226,4.644
20080227,4.655
20080228,4.631
20080229,4.59
20080303,4.581
20080304,4.555
20080305,4.569
20080306,4.597
20080307,4.777
20080310,4.82
20080311,4.779
20080312,4.76
20080313,4.643
20080314,4.585
20080317,4.557
20080318,4.652
20080319,4.765
20080320,4.746
20080321,4.747
20080324,4.747
20080325,4.816
20080326,4.75
20080327,4.752
20080328,4.812
20080331,4.834
20080401,4.826
20080402,4.87
20080403,4.874
20080404,4.857
20080407,4.876
20080408,4.842
20080409,4.764
20080410,4.736
20080411,4.723
20080414,4.695
20080415,4.66
20080416,4.651
20080417,4.721
20080418,4.705
20080421,4.669
20080422,4.706
20080423,4.692
20080424,4.746
20080425,4.796
20080428,4.82
20080429,4.794
20080430,4.781
20080501,4.778
20080502,4.821
20080505,4.817
20080506,4.719
20080507,4.701
20080508,4.702
20080509,4.651
20080512,4.689
20080513,4.712
20080514,4.756
20080515,4.835
20080516,4.807
20080519,4.795
20080520,4.791
20080521,4.818
20080522,4.925
20080523,4.901
20080526,4.893
20080527,4.989
20080528,5.058
20080529,5.174
20080530,5.169
20080602,5.107
