Date,Rate
20070709,4.669
20070710,4.589
20070711,4.577
20070712,4.62
20070713,4.618
20070716,4.579
20070717,4.596
20070718,4.544
20070719,4.55
20070720,4.438
20070723,4.44
20070724,4.431
20070725,4.404
20070726,4.331
20070727,4.323
20070730,4.304
20070731,4.347
20070801,4.348
20070802,4.374
20070803,4.317
20070806,4.323
20070807,4.345
20070808,4.425
20070809,4.388
20070810,4.354
20070813,4.371
20070814,4.36
20070815,4.335
20070816,4.246
20070817,4.287
20070820,4.273
20070821,4.23
20070822,4.295
20070823,4.268
20070824,4.262
20070827,4.252
20070828,4.228
20070829,4.225
20070830,4.232
20070831,4.242
20070903,4.263
20070904,4.275
20070905,4.21
20070906,4.206
20070907,4.122
20070910,4.072
20070911,4.094
20070912,4.125
20070913,4.17
20070914,4.166
20070917,4.154
20070918,4.219
20070919,4.284
20070920,4.342
20070921,4.358
20070924,4.365
20070925,4.327
20070926,4.385
20070927,4.379
20070928,4.329
20071001,4.323
20071002,4.317
20071003,4.334
20071004,4.289
20071005,4.35
20071008,4.353
20071009,4.319
20071010,4.352
20071011,4.394
20071012,4.421
20071015,4.429
20071016,4.436
20071017,4.394
20071018,4.324
20071019,4.225
20071022,4.191
20071023,4.199
20071024,4.15
20071025,4.16
20071026,4.173
20071029,4.171
20071030,4.187
20071031,4.239
20071101,4.206
20071102,4.177
20071105,4.167
20071106,4.183
20071107,4.152
20071108,4.126
20071109,4.087
20071112,4.1
20071113,4.127
20071114,4.146
20071115,4.117
20071116,4.1
20071119,4.051
20071120,4.056
20071121,4.013
20071122,4.006
20071123,4.022
20071126,4.021
20071127,4.037
20071128,4.111
20071129,4.066
20071130,4.126
20071203,4.067
20071204,4.026
20071205,4.033
20071206,4.083
20071207,4.199
20071210,4.268
20071211,4.24
20071212,4.306
20071213,4.282
20071214,4.305
20071217,4.289
20071218,4.285
20071219,4.284
20071220,4.25
20071221,4.304
20071224,4.306
20071225,4.302
20071226,4.307
20071227,4.346
20071228,4.313
20071231,4.307
20080101,4.302
20080102,4.21
20080103,4.193
20080104,4.135
20080107,4.125
20080108,4.153
20080109,4.089
20080110,4.089
20080111,4.087
20080114,4.054
20080115,4.024
20080116,3.978
20080117,3.975
20080118,3.974
20080121,3.912
20080122,3.992
20080123,3.889
20080124,3.998
20080125,3.977
20080128,3.948
20080129,3.994
20080130,4.018
20080131,3.93
20080201,3.919
20080204,3.932
20080205,3.846
20080206,3.895
20080207,3.877
20080208,3.864
20080211,3.859
20080212,3.945
20080213,3.956
20080214,4.005
20080215,3.955
20080218,4.015
20080219,3.994
20080220,4.025
20080221,4.015
20080222,4.003
20080225,4.036
20080226,4.074
20080227,4.088
20080228,4.001
20080229,3.891
20080303,3.86
20080304,3.806
20080305,3.861
20080306,3.809
20080307,3.788
20080310,3.731
20080311,3.789
20080312,3.771
20080313,3.76
20080314,3.732
20080317,3.688
20080318,3.761
20080319,3.761
20080320,3.752
20080321,3.762
20080324,3.761
20080325,3.883
20080326,3.876
20080327,3.924
20080328,3.938
20080331,3.899
20080401,3.974
20080402,3.993
20080403,3.982
20080404,3.946
20080407,4.013
20080408,4.021
20080409,4.005
20080410,3.982
20080411,3.91
20080414,3.908
20080415,3.964
20080416,4.037
20080417,4.076
20080418,4.133
20080421,4.115
20080422,4.148
20080423,4.146
20080424,4.182
20080425,4.178
20080428,4.201
20080429,4.138
20080430,4.123
20080501,4.117
20080502,4.198
20080505,4.158
20080506,4.133
20080507,4.176
20080508,4.064
20080509,3.995
20080512,4.011
20080513,4.084
20080514,4.174
20080515,4.203
20080516,4.172
20080519,4.22
20080520,4.185
20080521,4.265
20080522,4.299
20080523,4.265
20080526,4.292
20080527,4.306
20080528,4.347
20080529,4.43
20080530,4.405
20080602,4.347
20080603,4.427
20080604,4.384
20080605,4.469
20080606,4.421
20080609,4.491
20080610,4.52
20080611,4.553
20080612,4.597
20080613,4.641
20080616,4.63
20080617,4.609
20080618,4.613
20080619,4.681
20080620,4.628
20080623,4.599
20080624,4.602
20080625,4.613
20080626,4.516
20080627,4.523
20080630,4.621
