Date,Rate
20070709,4.725
20070710,4.64
20070711,4.625
20070712,4.677
20070713,4.671
20070716,4.651
20070717,4.663
20070718,4.621
20070719,4.614
20070720,4.518
20070723,4.505
20070724,4.51
20070725,4.481
20070726,4.418
20070727,4.397
20070730,4.378
20070731,4.425
20070801,4.433
20070802,4.45
20070803,4.401
20070806,4.407
20070807,4.428
20070808,4.502
20070809,4.454
20070810,4.429
20070813,4.447
20070814,4.435
20070815,4.412
20070816,4.357
20070817,4.385
20070820,4.376
20070821,4.337
20070822,4.407
20070823,4.38
20070824,4.365
20070827,4.37
20070828,4.336
20070829,4.324
20070830,4.34
20070831,4.364
20070903,4.373
20070904,4.387
20070905,4.333
20070906,4.334
20070907,4.263
20070910,4.22
20070911,4.235
20070912,4.255
20070913,4.292
20070914,4.281
20070917,4.284
20070918,4.337
20070919,4.39
20070920,4.439
20070921,4.464
20070924,4.472
20070925,4.442
20070926,4.501
20070927,4.49
20070928,4.45
20071001,4.441
20071002,4.437
20071003,4.436
20071004,4.404
20071005,4.454
20071008,4.457
20071009,4.416
20071010,4.436
20071011,4.475
20071012,4.501
20071015,4.508
20071016,4.523
20071017,4.499
20071018,4.427
20071019,4.336
20071022,4.299
20071023,4.3
20071024,4.255
20071025,4.266
20071026,4.285
20071029,4.274
20071030,4.283
20071031,4.333
20071101,4.307
20071102,4.275
20071105,4.272
20071106,4.296
20071107,4.263
20071108,4.239
20071109,4.201
20071112,4.208
20071113,4.234
20071114,4.251
20071115,4.226
20071116,4.219
20071119,4.171
20071120,4.18
20071121,4.139
20071122,4.127
20071123,4.138
20071126,4.138
20071127,4.139
20071128,4.22
20071129,4.172
20071130,4.223
20071203,4.181
20071204,4.134
20071205,4.142
20071206,4.195
20071207,4.307
20071210,4.375
20071211,4.358
20071212,4.438
20071213,4.412
20071214,4.43
20071217,4.418
20071218,4.417
20071219,4.42
20071220,4.386
20071221,4.438
20071224,4.442
20071225,4.43
20071226,4.43
20071227,4.476
20071228,4.458
20071231,4.447
20080101,4.438
20080102,4.309
20080103,4.286
20080104,4.222
20080107,4.224
20080108,4.261
20080109,4.197
20080110,4.205
20080111,4.203
20080114,4.175
20080115,4.144
20080116,4.11
20080117,4.1
20080118,4.099
20080121,4.042
20080122,4.124
20080123,4.022
20080124,4.121
20080125,4.116
20080128,4.069
20080129,4.117
20080130,4.148
20080131,4.071
20080201,4.064
20080204,4.077
20080205,3.981
20080206,4.021
20080207,4
20080208,3.988
20080211,3.963
20080212,4.056
20080213,4.062
20080214,4.115
20080215,4.069
20080218,4.127
20080219,4.11
20080220,4.134
20080221,4.134
20080222,4.115
20080225,4.151
20080226,4.184
20080227,4.197
20080228,4.119
20080229,4.014
20080303,3.989
20080304,3.958
20080305,4.031
20080306,4.007
20080307,4.022
20080310,3.988
20080311,4.019
20080312,4.014
20080313,4.015
20080314,3.983
20080317,3.954
20080318,4.03
20080319,4.038
20080320,4.043
20080321,4.044
20080324,4.044
20080325,4.133
20080326,4.151
20080327,4.176
20080328,4.182
20080331,4.165
20080401,4.23
20080402,4.223
20080403,4.219
20080404,4.189
20080407,4.25
20080408,4.251
20080409,4.248
20080410,4.23
20080411,4.167
20080414,4.168
20080415,4.226
20080416,4.283
20080417,4.337
20080418,4.409
20080421,4.367
20080422,4.401
20080423,4.392
20080424,4.431
20080425,4.427
20080428,4.442
20080429,4.394
20080430,4.377
20080501,4.375
20080502,4.453
20080505,4.412
20080506,4.368
20080507,4.397
20080508,4.297
20080509,4.234
20080512,4.244
20080513,4.309
20080514,4.391
