Date,Rate
20070709,4.741
20070710,4.662
20070711,4.662
20070712,4.707
20070713,4.702
20070716,4.667
20070717,4.69
20070718,4.639
20070719,4.647
20070720,4.535
20070723,4.539
20070724,4.532
20070725,4.509
20070726,4.44
20070727,4.434
20070730,4.422
20070731,4.464
20070801,4.47
20070802,4.491
20070803,4.431
20070806,4.439
20070807,4.458
20070808,4.528
20070809,4.494
20070810,4.463
20070813,4.475
20070814,4.46
20070815,4.435
20070816,4.35
20070817,4.388
20070820,4.373
20070821,4.329
20070822,4.395
20070823,4.369
20070824,4.366
20070827,4.357
20070828,4.338
20070829,4.345
20070830,4.353
20070831,4.363
20070903,4.388
20070904,4.399
20070905,4.339
20070906,4.352
20070907,4.28
20070910,4.232
20070911,4.261
20070912,4.282
20070913,4.319
20070914,4.317
20070917,4.294
20070918,4.359
20070919,4.414
20070920,4.457
20070921,4.478
20070924,4.483
20070925,4.446
20070926,4.505
20070927,4.495
20070928,4.439
20071001,4.432
20071002,4.419
20071003,4.432
20071004,4.377
20071005,4.434
20071008,4.433
20071009,4.397
20071010,4.431
20071011,4.469
20071012,4.5
20071015,4.506
20071016,4.516
20071017,4.478
20071018,4.418
20071019,4.322
20071022,4.295
20071023,4.298
20071024,4.25
20071025,4.263
20071026,4.282
20071029,4.278
20071030,4.299
20071031,4.356
20071101,4.324
20071102,4.292
20071105,4.29
20071106,4.303
20071107,4.284
20071108,4.269
20071109,4.235
20071112,4.251
20071113,4.277
20071114,4.293
20071115,4.271
20071116,4.26
20071119,4.218
20071120,4.244
20071121,4.222
20071122,4.232
20071123,4.24
20071126,4.236
20071127,4.257
20071128,4.314
20071129,4.263
20071130,4.318
20071203,4.255
20071204,4.217
20071205,4.218
20071206,4.26
20071207,4.355
20071210,4.412
20071211,4.388
20071212,4.451
20071213,4.434
20071214,4.456
20071217,4.43
20071218,4.417
20071219,4.419
20071220,4.379
20071221,4.441
20071224,4.433
20071225,4.435
20071226,4.439
20071227,4.477
20071228,4.434
20071231,4.43
20080101,4.429
20080102,4.296
20080103,4.304
20080104,4.264
20080107,4.268
20080108,4.294
20080109,4.258
20080110,4.27
20080111,4.268
20080114,4.226
20080115,4.202
20080116,4.167
20080117,4.155
20080118,4.151
20080121,4.093
20080122,4.178
20080123,4.081
20080124,4.189
