Date,Rate
20070709,4.727
20070710,4.646
20070711,4.644
20070712,4.686
20070713,4.679
20070716,4.643
20070717,4.661
20070718,4.612
20070719,4.617
20070720,4.506
20070723,4.507
20070724,4.498
20070725,4.474
20070726,4.415
20070727,4.416
20070730,4.41
20070731,4.446
20070801,4.446
20070802,4.464
20070803,4.406
20070806,4.413
20070807,4.433
20070808,4.507
20070809,4.471
20070810,4.441
20070813,4.453
20070814,4.439
20070815,4.41
20070816,4.326
20070817,4.367
20070820,4.352
20070821,4.308
20070822,4.376
20070823,4.351
20070824,4.344
20070827,4.336
20070828,4.313
20070829,4.309
20070830,4.317
20070831,4.329
20070903,4.35
20070904,4.364
20070905,4.298
20070906,4.304
20070907,4.233
20070910,4.203
20070911,4.221
20070912,4.245
20070913,4.281
20070914,4.274
20070917,4.258
20070918,4.325
20070919,4.376
20070920,4.427
20070921,4.448
20070924,4.454
20070925,4.418
20070926,4.475
20070927,4.464
20070928,4.415
20071001,4.41
20071002,4.402
20071003,4.411
20071004,4.365
20071005,4.423
20071008,4.427
20071009,4.393
20071010,4.426
20071011,4.464
20071012,4.493
20071015,4.5
20071016,4.509
20071017,4.475
20071018,4.413
20071019,4.316
20071022,4.285
20071023,4.29
20071024,4.242
20071025,4.253
20071026,4.272
20071029,4.267
20071030,4.285
20071031,4.338
20071101,4.303
20071102,4.271
20071105,4.268
20071106,4.282
20071107,4.259
20071108,4.236
20071109,4.202
20071112,4.216
20071113,4.241
20071114,4.258
20071115,4.232
20071116,4.221
20071119,4.173
20071120,4.185
20071121,4.147
20071122,4.147
20071123,4.156
20071126,4.15
20071127,4.163
20071128,4.231
20071129,4.19
20071130,4.253
20071203,4.189
20071204,4.148
20071205,4.147
20071206,4.193
20071207,4.299
20071210,4.359
20071211,4.336
20071212,4.399
20071213,4.385
20071214,4.41
20071217,4.391
20071218,4.384
20071219,4.386
20071220,4.347
20071221,4.406
20071224,4.413
20071225,4.403
20071226,4.414
20071227,4.446
20071228,4.411
20071231,4.404
20080101,4.402
20080102,4.275
20080103,4.273
20080104,4.213
20080107,4.22
20080108,4.249
20080109,4.191
20080110,4.196
20080111,4.192
20080114,4.148
20080115,4.116
20080116,4.073
20080117,4.065
20080118,4.064
20080121,4.002
20080122,4.087
20080123,3.987
20080124,4.096
20080125,4.078
20080128,4.05
20080129,4.098
20080130,4.125
20080131,4.036
20080201,4.018
20080204,4.028
20080205,3.941
20080206,3.983
20080207,3.962
20080208,3.939
20080211,3.94
20080212,4.032
20080213,4.047
20080214,4.096
20080215,4.048
20080218,4.107
20080219,4.088
20080220,4.119
20080221,4.11
20080222,4.102
20080225,4.135
20080226,4.173
20080227,4.185
20080228,4.094
20080229,3.986
20080303,3.968
20080304,3.939
20080305,4.025
20080306,3.989
20080307,3.987
20080310,3.931
20080311,3.96
20080312,3.944
20080313,3.947
20080314,3.923
20080317,3.906
20080318,3.983
20080319,3.978
20080320,3.957
20080321,3.962
20080324,3.962
20080325,4.074
20080326,4.066
20080327,4.104
20080328,4.106
20080331,4.068
20080401,4.126
20080402,4.14
20080403,4.138
20080404,4.105
20080407,4.17
20080408,4.169
20080409,4.152
20080410,4.156
20080411,4.079
20080414,4.079
20080415,4.14
20080416,4.216
20080417,4.269
20080418,4.32
20080421,4.285
20080422,4.31
20080423,4.31
20080424,4.346
