Date,Rate
20070709,4.73
20070710,4.648
20070711,4.649
20070712,4.69
20070713,4.683
20070716,4.648
20070717,4.664
20070718,4.612
20070719,4.615
20070720,4.503
20070723,4.512
20070724,4.499
20070725,4.475
20070726,4.412
20070727,4.414
20070730,4.404
20070731,4.439
20070801,4.445
20070802,4.463
20070803,4.406
20070806,4.414
20070807,4.435
20070808,4.51
20070809,4.472
20070810,4.44
20070813,4.453
20070814,4.437
20070815,4.41
20070816,4.324
20070817,4.365
20070820,4.35
20070821,4.309
20070822,4.373
20070823,4.346
20070824,4.343
20070827,4.333
20070828,4.309
20070829,4.308
20070830,4.316
20070831,4.328
20070903,4.352
20070904,4.367
20070905,4.303
20070906,4.31
20070907,4.233
20070910,4.198
20070911,4.216
20070912,4.24
20070913,4.277
20070914,4.27
20070917,4.249
20070918,4.316
20070919,4.371
20070920,4.426
20070921,4.445
20070924,4.455
20070925,4.415
20070926,4.473
20070927,4.461
20070928,4.413
20071001,4.41
20071002,4.403
20071003,4.414
20071004,4.358
20071005,4.418
20071008,4.421
20071009,4.386
20071010,4.419
20071011,4.453
20071012,4.485
20071015,4.49
20071016,4.5
20071017,4.467
20071018,4.406
20071019,4.306
20071022,4.275
20071023,4.28
20071024,4.232
20071025,4.244
20071026,4.262
20071029,4.259
20071030,4.278
20071031,4.331
20071101,4.296
20071102,4.267
20071105,4.288
20071106,4.299
20071107,4.272
20071108,4.25
20071109,4.21
20071112,4.225
20071113,4.247
20071114,4.267
20071115,4.242
20071116,4.232
20071119,4.183
20071120,4.194
20071121,4.157
20071122,4.157
20071123,4.165
20071126,4.156
20071127,4.174
20071128,4.244
20071129,4.2
20071130,4.262
20071203,4.198
20071204,4.155
20071205,4.159
20071206,4.203
20071207,4.309
20071210,4.372
20071211,4.351
20071212,4.411
20071213,4.398
20071214,4.425
20071217,4.404
20071218,4.396
20071219,4.4
20071220,4.365
20071221,4.428
20071224,4.431
20071225,4.429
20071226,4.429
20071227,4.467
20071228,4.427
20071231,4.422
20080101,4.42
20080102,4.294
20080103,4.294
20080104,4.234
20080107,4.235
20080108,4.261
20080109,4.201
20080110,4.205
20080111,4.2
20080114,4.16
20080115,4.131
20080116,4.083
20080117,4.076
20080118,4.076
20080121,4.019
20080122,4.103
20080123,4.005
20080124,4.115
20080125,4.096
20080128,4.072
20080129,4.119
20080130,4.142
20080131,4.054
20080201,4.032
20080204,4.045
20080205,3.963
20080206,4.011
20080207,3.995
20080208,3.973
20080211,3.979
20080212,4.063
20080213,4.07
20080214,4.121
20080215,4.079
20080218,4.138
20080219,4.116
20080220,4.148
20080221,4.131
20080222,4.124
20080225,4.156
20080226,4.193
20080227,4.203
20080228,4.11
20080229,4.008
20080303,3.994
20080304,3.977
20080305,4.081
20080306,4.038
20080307,4.033
20080310,3.957
20080311,3.981
20080312,3.955
20080313,3.96
20080314,3.934
20080317,3.908
20080318,3.996
20080319,3.966
20080320,3.955
20080321,3.957
20080324,3.958
20080325,4.08
20080326,4.097
20080327,4.143
20080328,4.148
20080331,4.11
20080401,4.165
20080402,4.178
20080403,4.177
20080404,4.137
20080407,4.252
20080408,4.254
20080409,4.235
20080410,4.225
20080411,4.144
20080414,4.142
20080415,4.202
20080416,4.278
20080417,4.314
20080418,4.36
20080421,4.332
20080422,4.357
20080423,4.354
20080424,4.392
20080425,4.383
20080428,4.409
20080429,4.35
20080430,4.328
20080501,4.317
20080502,4.394
20080505,4.353
20080506,4.331
20080507,4.366
20080508,4.261
20080509,4.208
20080512,4.229
20080513,4.297
20080514,4.385
20080515,4.401
20080516,4.359
20080519,4.405
20080520,4.372
20080521,4.447
20080522,4.473
20080523,4.449
20080526,4.475
