Date,Rate
20070709,4.908
20070710,4.836
20070711,4.844
20070712,4.888
20070713,4.881
20070716,4.852
20070717,4.87
20070718,4.818
20070719,4.817
20070720,4.712
20070723,4.716
20070724,4.709
20070725,4.687
20070726,4.642
20070727,4.655
20070730,4.659
20070731,4.674
20070801,4.667
20070802,4.675
20070803,4.626
20070806,4.635
20070807,4.651
20070808,4.712
20070809,4.682
20070810,4.65
20070813,4.66
20070814,4.643
20070815,4.637
20070816,4.561
20070817,4.598
20070820,4.595
20070821,4.555
20070822,4.61
20070823,4.583
20070824,4.577
20070827,4.584
20070828,4.553
20070829,4.563
20070830,4.567
20070831,4.568
20070903,4.58
20070904,4.594
20070905,4.536
20070906,4.55
20070907,4.473
20070910,4.43
20070911,4.443
20070912,4.467
20070913,4.499
20070914,4.505
20070917,4.482
20070918,4.54
20070919,4.578
20070920,4.631
20070921,4.644
20070924,4.654
20070925,4.623
20070926,4.683
20070927,4.674
20070928,4.628
20071001,4.625
20071002,4.607
20071003,4.617
20071004,4.568
20071005,4.62
20071008,4.621
20071009,4.591
20071010,4.621
20071011,4.65
20071012,4.68
20071015,4.69
20071016,4.7
20071017,4.666
20071018,4.61
20071019,4.514
20071022,4.476
20071023,4.482
20071024,4.432
20071025,4.452
20071026,4.475
20071029,4.474
20071030,4.494
20071031,4.542
20071101,4.518
20071102,4.487
20071105,4.485
20071106,4.491
20071107,4.463
20071108,4.444
20071109,4.406
20071112,4.417
20071113,4.429
20071114,4.449
20071115,4.427
20071116,4.424
20071119,4.381
20071120,4.405
20071121,4.381
20071122,4.383
20071123,4.387
20071126,4.38
20071127,4.388
20071128,4.459
20071129,4.422
20071130,4.463
20071203,4.409
20071204,4.365
20071205,4.372
20071206,4.405
20071207,4.505
20071210,4.557
20071211,4.533
20071212,4.597
20071213,4.59
20071214,4.62
20071217,4.604
20071218,4.598
20071219,4.601
20071220,4.565
20071221,4.626
20071224,4.624
20071225,4.617
20071226,4.625
20071227,4.667
20071228,4.635
20071231,4.629
20080101,4.623
20080102,4.514
20080103,4.505
20080104,4.454
20080107,4.463
20080108,4.489
20080109,4.44
20080110,4.453
20080111,4.453
20080114,4.409
20080115,4.382
20080116,4.338
20080117,4.323
20080118,4.318
20080121,4.272
20080122,4.361
20080123,4.264
20080124,4.374
20080125,4.364
20080128,4.318
20080129,4.365
20080130,4.389
20080131,4.303
20080201,4.279
20080204,4.288
20080205,4.215
20080206,4.265
20080207,4.246
20080208,4.222
20080211,4.239
20080212,4.33
20080213,4.339
20080214,4.382
20080215,4.347
20080218,4.393
20080219,4.375
20080220,4.414
20080221,4.416
20080222,4.421
20080225,4.491
20080226,4.517
20080227,4.525
20080228,4.433
20080229,4.335
20080303,4.332
20080304,4.325
20080305,4.428
20080306,4.439
20080307,4.457
20080310,4.407
20080311,4.424
20080312,4.411
20080313,4.441
20080314,4.412
20080317,4.403
20080318,4.426
20080319,4.372
20080320,4.355
20080321,4.358
20080324,4.359
20080325,4.465
20080326,4.481
20080327,4.502
20080328,4.504
20080331,4.459
20080401,4.481
20080402,4.476
20080403,4.491
20080404,4.438
20080407,4.486
20080408,4.522
20080409,4.515
20080410,4.507
20080411,4.435
20080414,4.445
20080415,4.509
20080416,4.577
20080417,4.604
20080418,4.644
20080421,4.627
20080422,4.668
20080423,4.659
20080424,4.692
20080425,4.672
20080428,4.686
20080429,4.628
20080430,4.591
20080501,4.579
20080502,4.649
20080505,4.619
20080506,4.6
20080507,4.62
20080508,4.531
20080509,4.589
20080512,4.603
20080513,4.651
20080514,4.738
20080515,4.762
20080516,4.726
20080519,4.779
20080520,4.75
20080521,4.823
20080522,4.841
20080523,4.835
20080526,4.853
20080527,4.871
20080528,4.906
20080529,4.994
20080530,4.969
20080602,4.924
20080603,4.99
20080604,4.951
20080605,5.023
20080606,5.01
20080609,5.128
20080610,5.184
20080611,5.206
20080612,5.255
20080613,5.31
20080616,5.314
20080617,5.282
20080618,5.27
20080619,5.319
20080620,5.276
20080623,5.257
20080624,5.272
20080625,5.27
20080626,5.189
20080627,5.206
20080630,5.284
20080701,5.272
20080702,5.301
20080703,5.201
20080704,5.154
20080707,5.083
20080708,5.077
20080709,5.067
20080710,5.057
20080711,5.065
20080714,5.047
20080715,5.046
20080716,5.063
20080717,5.113
20080718,5.22
20080721,5.265
20080722,5.262
20080723,5.274
20080724,5.19
20080725,5.222
20080728,5.137
20080729,5.112
20080730,5.06
20080731,5
20080801,4.998
20080804,4.986
20080805,4.961
20080806,4.963
20080807,4.883
20080808,4.877
20080811,4.892
20080812,4.866
20080813,4.859
20080814,4.863
20080815,4.832
20080818,4.813
20080819,4.851
20080820,4.805
20080821,4.849
20080822,4.894
20080825,4.826
20080826,4.823
20080827,4.888
20080828,4.877
20080829,4.882
20080901,4.833
20080902,4.839
20080903,4.836
20080904,4.776
20080905,4.746
20080908,4.822
20080909,4.805
20080910,4.814
20080911,4.826
20080912,4.907
20080915,4.847
20080916,4.818
20080917,4.856
20080918,4.911
20080919,5.007
20080922,5.006
20080923,4.999
20080924,4.93
20080925,4.971
20080926,4.928
20080929,4.908
20080930,4.951
20081001,4.888
20081002,4.829
20081003,4.791
20081006,4.645
20081007,4.661
20081008,4.747
20081009,4.847
20081010,4.988
20081013,5.009
20081014,4.977
20081015,4.959
20081016,4.923
20081017,4.896
20081020,4.903
20081021,4.861
20081022,4.813
20081023,4.862
20081024,4.906
20081027,4.959
20081028,4.973
20081029,5.277
20081030,5.349
20081031,5.512
20081103,5.477
20081104,5.35
20081105,5.271
20081106,5.214
20081107,5.082
20081110,5.051
20081111,5.064
20081112,5.097
20081113,5.151
20081114,5.058
20081117,5.128
20081118,5.073
20081119,4.98
20081120,4.863
20081121,4.894
20081124,4.918
20081125,4.898
20081126,4.863
20081127,4.905
20081128,4.839
20081201,4.826
20081202,4.691
20081203,4.667
20081204,4.766
20081205,4.714
20081208,4.846
20081209,4.912
20081210,4.905
20081211,5.126
20081212,5.362
20081215,5.403
20081216,5.327
20081217,5.226
20081218,5.256
20081219,5.261
20081222,5.244
20081223,5.225
20081224,5.207
20081225,5.207
20081226,5.212
20081229,5.198
20081230,5.227
20081231,5.225
20090101,5.225
20090102,5.188
20090105,5.16
20090106,5.303
20090107,5.308
20090108,5.248
20090109,5.273
20090112,5.332
20090113,5.382
20090114,5.38
20090115,5.428
20090116,5.449
20090119,5.513
20090120,5.703
20090121,5.783
20090122,6.022
20090123,6.205
20090126,6.179
20090127,6.027
20090128,5.894
20090129,5.731
20090130,5.815
20090202,5.798
20090203,5.783
20090204,5.689
20090205,5.702
20090206,5.706
20090209,5.628
20090210,5.633
20090211,5.663
20090212,5.725
20090213,5.853
20090216,5.951
20090217,5.965
20090218,5.906
20090219,5.76
20090220,5.519
20090223,5.41
20090224,5.471
20090225,5.452
20090226,5.583
20090227,5.678
20090302,5.617
20090303,5.718
20090304,5.829
20090305,5.741
20090306,5.731
20090309,5.694
20090310,5.751
20090311,5.76
20090312,6.01
20090313,6.038
20090316,6.086
20090317,6.004
20090318,5.974
20090319,5.804
20090320,5.633
20090323,5.636
20090324,5.751
20090325,5.639
20090326,5.649
20090327,5.654
20090330,5.744
20090331,5.74
20090401,5.706
20090402,5.762
20090403,5.708
20090406,5.632
20090407,5.655
20090408,5.602
20090409,5.561
20090410,5.552
20090413,5.551
20090414,5.517
20090415,5.469
20090416,5.448
20090417,5.487
20090420,5.378
20090421,5.463
20090422,5.42
20090423,5.332
20090424,5.312
20090427,5.306
20090428,5.294
20090429,5.317
20090430,5.318
20090501,5.316
20090504,5.333
20090505,5.223
20090506,5.225
20090507,5.12
20090508,5.072
20090511,5.078
20090512,5.202
20090513,5.21
20090514,5.233
20090515,5.16
20090518,5.143
20090519,5.138
20090520,5.111
20090521,5.135
20090522,5.229
20090525,5.272
20090526,5.333
20090527,5.36
20090528,5.485
20090529,5.446
20090601,5.504
20090602,5.489
20090603,5.446
20090604,5.566
20090605,5.584
20090608,5.533
20090609,5.526
20090610,5.527
20090611,5.471
20090612,5.353
20090615,5.234
20090616,5.246
20090617,5.244
20090618,5.309
20090619,5.252
20090622,5.27
20090623,5.325
20090624,5.251
20090625,5.188
20090626,5.148
20090629,5.049
20090630,5.041
20090701,5.041
20090702,4.93
20090703,4.934
20090706,4.878
20090707,4.914
20090708,5.007
20090709,4.998
20090710,5.002
20090713,5.008
20090714,5.014
20090715,4.993
20090716,4.924
20090717,4.949
20090720,4.846
20090721,4.772
20090722,4.778
20090723,4.784
20090724,4.862
