Date,Rate
20070709,6.61
20070710,6.57
20070711,6.58
20070712,6.56
20070713,6.56
20070716,6.55
20070717,6.55
20070718,6.55
20070719,6.51
20070720,6.47
20070723,6.46
20070724,6.45
20070725,6.5
20070726,6.62
20070727,6.69
20070730,6.73
20070731,6.7
20070801,6.75
20070802,6.71
20070803,6.71
20070806,6.73
20070807,6.69
20070808,6.63
20070809,6.64
20070810,6.74
20070813,6.75
20070814,6.76
20070815,6.88
20070816,7
20070817,7.02
20070821,6.96
20070822,6.94
20070823,6.87
20070824,6.88
20070827,6.77
20070828,6.78
20070829,6.86
20070830,6.79
20070831,6.75
20070903,6.75
20070904,6.77
20070905,6.79
20070906,6.82
20070907,6.76
20070910,6.79
20070911,6.76
20070912,6.66
20070913,6.65
20070914,6.67
20070917,6.67
20070918,6.7
20070919,6.53
20070920,6.55
20070921,6.57
20070924,6.56
20070925,6.59
20070926,6.61
20070927,6.61
20070928,6.62
20071001,6.63
20071002,6.65
20071003,6.71
20071004,6.71
20071005,6.67
20071008,6.64
20071009,6.64
20071010,6.63
20071011,6.6
20071012,6.64
20071015,6.62
20071016,6.63
20071017,6.62
20071018,6.6
20071019,6.62
20071024,6.52
20071025,6.53
20071026,6.55
20071029,6.54
20071030,6.58
20071031,6.56
20071105,6.59
20071106,6.58
20071107,6.6
20071108,6.59
20071109,6.6
20071112,6.62
20071113,6.65
20071114,6.61
20071115,6.64
20071116,6.62
20071119,6.79
20071120,6.8
20071121,6.91
20071122,6.88
20071123,6.92
20071126,6.91
20071127,6.93
20071128,6.9
20071129,6.83
20071130,6.83
20071203,6.84
20071204,6.84
20071205,6.85
20071206,6.81
20071207,6.8
20071210,6.81
20071211,6.83
20071212,6.85
20071213,6.85
20071214,6.91
20071217,7.02
20071218,7.01
20071219,7.02
20071220,7.14
20071221,7.11
20071227,7.11
20071228,7.08
20080102,7.08
20080103,7.11
20080104,7.1
20080107,7.11
20080108,7.02
20080109,6.99
20080110,6.99
20080111,6.96
20080114,6.97
20080115,6.97
20080116,7.02
20080117,7.04
20080118,7.07
20080121,7.18
20080122,7.28
20080123,7.26
20080124,7.25
20080125,7.17
20080128,7.19
20080129,7.2
20080130,7.19
20080131,7.2
20080201,7.2
20080204,7.19
20080205,7.26
20080206,7.4
20080207,7.55
20080208,7.57
20080211,7.65
20080212,7.58
20080213,7.54
20080214,7.52
20080215,7.55
20080218,7.62
20080219,7.7
20080220,7.77
20080221,7.76
20080222,7.76
20080225,7.55
20080226,7.68
20080227,7.53
20080228,7.7
20080229,8.18
20080303,8.34
20080304,8.19
20080305,8.12
20080306,8.37
20080307,9.07
20080310,8.9
20080311,8.89
20080312,8.67
20080313,8.57
20080314,8.56
20080317,8.7
20080318,8.41
20080319,8.06
20080320,8.08
20080321,8.07
20080325,8.08
20080326,8.17
20080327,8.15
20080328,8.25
20080331,8.56
20080401,8.45
20080402,8.14
20080403,8.1
20080404,8.09
20080407,7.95
20080408,7.88
20080409,7.95
20080410,7.96
20080411,7.91
20080414,7.93
20080415,7.9
20080416,7.95
20080417,7.97
20080418,8.02
20080421,7.97
20080422,7.94
20080423,7.97
20080424,8.02
20080425,8.07
20080428,8.14
20080429,8.07
20080430,8.1
20080505,8.01
20080506,8.02
20080507,8.03
20080508,8.05
20080509,8.11
20080513,8.08
20080514,8.04
20080515,8.14
20080516,8.18
20080519,8.06
20080520,8.05
20080521,8.07
20080522,8.09
20080523,8.1
20080526,8.05
20080527,8.07
20080528,8.12
20080529,8.07
20080530,8.1
20080602,8.18
20080603,8.27
20080604,8.35
20080605,8.43
20080606,8.61
20080609,8.52
20080610,8.46
20080611,8.54
20080612,8.59
20080613,8.57
20080616,8.59
20080617,8.62
20080618,8.56
20080619,8.56
20080620,8.56
20080623,8.56
20080624,8.54
20080625,8.55
20080626,8.41
20080627,8.56
20080630,8.5
20080701,8.43
20080702,8.47
20080703,8.57
20080704,8.45
20080707,8.46
20080708,8.41
20080709,8.17
20080710,8.23
20080711,8.23
20080714,8.19
20080715,8.3
20080716,8.15
20080717,7.87
20080718,7.93
20080721,7.86
20080722,7.87
20080723,7.98
20080724,7.8
20080725,7.73
20080728,7.73
20080729,7.82
20080730,7.77
20080731,7.81
20080801,7.84
20080804,7.85
