Date,Rate
20071026,4.333
20071029,4.331
20071030,4.349
20071031,4.397
20071101,4.366
20071102,4.339
20071105,4.33
20071106,4.344
20071107,4.318
20071108,4.303
20071109,4.27
20071112,4.284
20071113,4.309
20071114,4.329
20071115,4.304
20071116,4.298
20071119,4.257
20071120,4.281
20071121,4.254
20071122,4.258
20071123,4.268
20071126,4.27
20071127,4.288
20071128,4.354
20071129,4.315
20071130,4.379
20071203,4.318
20071204,4.29
20071205,4.288
20071206,4.33
20071207,4.429
20071210,4.485
20071211,4.469
20071212,4.532
20071213,4.506
20071214,4.513
20071217,4.496
20071218,4.485
20071219,4.484
20071220,4.449
20071221,4.499
20071224,4.497
20071225,4.498
20071226,4.498
20071227,4.539
20071228,4.5
20071231,4.491
20080101,4.492
20080102,4.386
20080103,4.358
20080104,4.306
20080107,4.305
20080108,4.333
20080109,4.28
20080110,4.285
20080111,4.282
20080114,4.246
20080115,4.216
20080116,4.17
20080117,4.164
20080118,4.162
20080121,4.121
20080122,4.215
20080123,4.118
20080124,4.232
20080125,4.209
20080128,4.181
20080129,4.226
20080130,4.25
20080131,4.161
20080201,4.137
20080204,4.149
20080205,4.07
20080206,4.115
20080207,4.102
20080208,4.082
20080211,4.083
20080212,4.17
20080213,4.184
20080214,4.233
20080215,4.19
20080218,4.246
20080219,4.229
20080220,4.262
20080221,4.252
20080222,4.246
20080225,4.281
20080226,4.328
20080227,4.343
20080228,4.254
20080229,4.147
20080303,4.129
20080304,4.123
20080305,4.21
20080306,4.174
20080307,4.169
20080310,4.126
20080311,4.162
20080312,4.142
20080313,4.161
20080314,4.144
20080317,4.117
20080318,4.186
20080319,4.159
20080320,4.151
20080321,4.146
20080324,4.145
20080325,4.266
20080326,4.269
20080327,4.307
20080328,4.313
20080331,4.287
20080401,4.357
20080402,4.364
20080403,4.374
20080404,4.333
20080407,4.401
20080408,4.416
20080409,4.409
20080410,4.372
20080411,4.297
20080414,4.296
20080415,4.351
20080416,4.424
20080417,4.465
20080418,4.513
20080421,4.486
20080422,4.502
20080423,4.495
20080424,4.629
20080425,4.615
20080428,4.633
20080429,4.576
20080430,4.551
20080501,4.552
20080502,4.615
20080505,4.576
20080506,4.543
20080507,4.584
20080508,4.48
20080509,4.425
20080512,4.439
20080513,4.517
20080514,4.59
20080515,4.606
20080516,4.567
20080519,4.608
20080520,4.577
20080521,4.649
20080522,4.666
20080523,4.651
20080526,4.663
20080527,4.686
20080528,4.731
20080529,4.815
20080530,4.782
20080602,4.731
20080603,4.812
20080604,4.769
20080605,4.852
20080606,4.799
20080609,4.879
20080610,4.933
20080611,4.965
20080612,5.006
20080613,5.052
20080616,5.046
20080617,5.021
20080618,5.011
20080619,5.069
20080620,5.013
20080623,4.986
20080624,5
20080625,5.029
20080626,4.952
20080627,4.951
20080630,5.052
20080701,5.043
20080702,5.072
20080703,4.983
20080704,4.938
20080707,4.869
20080708,4.866
20080709,4.858
20080710,4.839
20080711,4.861
20080714,4.837
20080715,4.83
