Date,Rate
20070709,4.888
20070710,4.817
20070711,4.819
20070712,4.865
20070713,4.857
20070716,4.828
20070717,4.849
20070718,4.8
20070719,4.799
20070720,4.696
20070723,4.701
20070724,4.693
20070725,4.673
20070726,4.632
20070727,4.64
20070730,4.651
20070731,4.659
20070801,4.652
20070802,4.662
20070803,4.615
20070806,4.624
20070807,4.637
20070808,4.702
20070809,4.667
20070810,4.636
20070813,4.646
20070814,4.63
20070815,4.622
20070816,4.549
20070817,4.584
20070820,4.576
20070821,4.54
20070822,4.595
20070823,4.569
20070824,4.569
20070827,4.561
20070828,4.531
20070829,4.533
20070830,4.535
20070831,4.53
20070903,4.549
20070904,4.557
20070905,4.498
20070906,4.511
20070907,4.435
20070910,4.388
20070911,4.414
20070912,4.432
20070913,4.466
20070914,4.472
20070917,4.455
20070918,4.516
20070919,4.56
20070920,4.613
20070921,4.626
20070924,4.639
20070925,4.606
20070926,4.661
20070927,4.647
20070928,4.601
20071001,4.596
20071002,4.58
20071003,4.591
20071004,4.543
20071005,4.595
20071008,4.597
20071009,4.57
20071010,4.601
20071011,4.63
20071012,4.66
20071015,4.668
20071016,4.683
20071017,4.65
20071018,4.592
20071019,4.501
20071022,4.459
20071023,4.465
20071024,4.419
20071025,4.439
20071026,4.466
20071029,4.462
20071030,4.481
20071031,4.527
20071101,4.501
20071102,4.472
20071105,4.467
20071106,4.47
20071107,4.444
20071108,4.423
20071109,4.386
20071112,4.394
20071113,4.409
20071114,4.428
20071115,4.408
20071116,4.401
20071119,4.359
20071120,4.38
20071121,4.347
20071122,4.4
20071123,4.404
20071126,4.396
20071127,4.403
20071128,4.476
20071129,4.437
20071130,4.484
20071203,4.429
20071204,4.39
20071205,4.393
20071206,4.423
20071207,4.524
20071210,4.57
20071211,4.547
20071212,4.604
20071213,4.596
20071214,4.623
20071217,4.608
20071218,4.602
20071219,4.606
20071220,4.574
20071221,4.642
20071224,4.631
20071225,4.616
20071226,4.602
20071227,4.683
20071228,4.656
20071231,4.652
20080101,4.648
20080102,4.523
20080103,4.511
20080104,4.461
20080107,4.469
20080108,4.493
20080109,4.442
20080110,4.467
20080111,4.462
20080114,4.412
20080115,4.386
20080116,4.346
20080117,4.331
20080118,4.329
20080121,4.282
20080122,4.374
20080123,4.285
20080124,4.404
20080125,4.381
20080128,4.33
20080129,4.38
20080130,4.401
20080131,4.311
20080201,4.285
20080204,4.302
20080205,4.229
20080206,4.28
20080207,4.264
20080208,4.239
20080211,4.25
20080212,4.33
20080213,4.334
20080214,4.378
20080215,4.346
20080218,4.395
20080219,4.379
20080220,4.423
20080221,4.414
20080222,4.417
20080225,4.469
20080226,4.503
20080227,4.515
20080228,4.427
20080229,4.328
20080303,4.327
20080304,4.324
20080305,4.435
20080306,4.413
20080307,4.43
20080310,4.379
20080311,4.395
20080312,4.371
20080313,4.383
20080314,4.36
20080317,4.334
20080318,4.366
20080319,4.322
20080320,4.314
20080321,4.313
20080324,4.302
20080325,4.42
20080326,4.434
20080327,4.471
20080328,4.461
20080331,4.421
20080401,4.439
20080402,4.444
20080403,4.464
20080404,4.426
20080407,4.482
20080408,4.511
20080409,4.497
20080410,4.487
20080411,4.404
20080414,4.43
20080415,4.497
20080416,4.571
20080417,4.593
20080418,4.606
20080421,4.589
20080422,4.63
20080423,4.629
20080424,4.672
20080425,4.648
20080428,4.66
20080429,4.601
20080430,4.577
20080501,4.57
20080502,4.632
20080505,4.59
20080506,4.576
20080507,4.593
20080508,4.518
20080509,4.479
20080512,4.503
20080513,4.543
20080514,4.623
20080515,4.635
20080516,4.593
20080519,4.641
20080520,4.619
