Date,Rate
20070709,4.714
20070710,4.631
20070711,4.656
20070712,4.697
20070713,4.682
20070716,4.645
20070717,4.666
20070718,4.613
20070719,4.617
20070720,4.506
20070723,4.511
20070724,4.501
20070725,4.478
20070726,4.405
20070727,4.41
20070730,4.405
20070731,4.44
20070801,4.444
20070802,4.456
20070803,4.4
20070806,4.407
20070807,4.428
20070808,4.501
20070809,4.468
20070810,4.439
20070813,4.45
20070814,4.435
20070815,4.408
20070816,4.321
20070817,4.364
20070820,4.351
20070821,4.311
20070822,4.375
20070823,4.348
20070824,4.346
20070827,4.339
20070828,4.316
20070829,4.316
20070830,4.324
20070831,4.336
20070903,4.357
20070904,4.37
20070905,4.307
20070906,4.316
20070907,4.242
20070910,4.209
20070911,4.224
20070912,4.252
20070913,4.289
20070914,4.286
20070917,4.265
20070918,4.332
20070919,4.381
20070920,4.435
20070921,4.453
20070924,4.457
20070925,4.418
20070926,4.477
20070927,4.468
20070928,4.419
20071001,4.414
20071002,4.405
20071003,4.418
20071004,4.367
20071005,4.426
20071008,4.43
20071009,4.396
20071010,4.43
20071011,4.47
20071012,4.499
20071015,4.504
20071016,4.512
20071017,4.477
20071018,4.412
20071019,4.316
20071022,4.285
20071023,4.29
20071024,4.242
20071025,4.255
20071026,4.273
20071029,4.267
20071030,4.287
20071031,4.34
20071101,4.303
20071102,4.272
20071105,4.273
20071106,4.286
20071107,4.261
20071108,4.242
20071109,4.204
20071112,4.219
20071113,4.233
20071114,4.253
20071115,4.227
20071116,4.216
20071119,4.165
20071120,4.177
20071121,4.137
20071122,4.14
20071123,4.149
20071126,4.139
20071127,4.157
20071128,4.225
20071129,4.181
20071130,4.243
20071203,4.179
20071204,4.14
20071205,4.144
20071206,4.188
20071207,4.295
20071210,4.362
20071211,4.338
20071212,4.4
20071213,4.384
20071214,4.411
20071217,4.392
20071218,4.384
20071219,4.386
20071220,4.354
20071221,4.412
20071224,4.417
20071225,4.407
20071226,4.41
20071227,4.453
20071228,4.411
20071231,4.407
20080101,4.403
20080102,4.28
20080103,4.274
20080104,4.214
20080107,4.216
20080108,4.246
20080109,4.187
20080110,4.194
20080111,4.191
20080114,4.152
20080115,4.12
20080116,4.074
20080117,4.063
20080118,4.06
20080121,4.002
20080122,4.087
20080123,3.992
20080124,4.104
20080125,4.085
20080128,4.059
20080129,4.105
20080130,4.131
20080131,4.037
20080201,4.019
20080204,4.032
20080205,3.947
20080206,3.995
20080207,3.977
20080208,3.948
20080211,3.946
20080212,4.035
20080213,4.044
20080214,4.093
20080215,4.053
20080218,4.106
20080219,4.165
20080220,4.197
20080221,4.178
20080222,4.176
20080225,4.211
20080226,4.247
20080227,4.26
20080228,4.167
20080229,4.059
20080303,4.045
20080304,4.022
20080305,4.122
20080306,4.088
20080307,4.07
20080310,3.995
20080311,4.017
20080312,3.993
20080313,3.995
20080314,3.97
20080317,3.951
20080318,4.025
20080319,3.997
20080320,3.98
20080321,3.981
20080324,3.978
20080325,4.106
20080326,4.113
20080327,4.157
20080328,4.155
20080331,4.123
20080401,4.183
20080402,4.2
20080403,4.207
20080404,4.175
20080407,4.241
20080408,4.247
20080409,4.227
20080410,4.218
20080411,4.137
20080414,4.135
20080415,4.197
20080416,4.272
20080417,4.309
20080418,4.356
20080421,4.331
20080422,4.357
20080423,4.356
20080424,4.393
20080425,4.387
20080428,4.407
20080429,4.345
20080430,4.329
20080501,4.322
20080502,4.4
20080505,4.358
20080506,4.336
20080507,4.372
20080508,4.268
20080509,4.21
20080512,4.232
20080513,4.301
20080514,4.389
20080515,4.411
20080516,4.365
20080519,4.411
20080520,4.377
20080521,4.452
20080522,4.479
20080523,4.452
20080526,4.477
20080527,4.495
20080528,4.536
20080529,4.633
20080530,4.606
20080602,4.548
20080603,4.627
20080604,4.586
20080605,4.666
20080606,4.625
20080609,4.724
20080610,4.75
20080611,4.776
20080612,4.809
20080613,4.838
20080616,4.823
20080617,4.793
20080618,4.792
20080619,4.856
20080620,4.8
20080623,4.775
20080624,4.778
20080625,4.788
20080626,4.701
20080627,4.712
20080630,4.811
20080701,4.794
20080702,4.84
20080703,4.741
