Date,Rate
20070709,5.681
20070710,5.673
20070711,5.649
20070712,5.625
20070713,5.605
20070716,5.615
20070717,5.597
20070718,5.601
20070719,5.609
20070720,5.579
20070723,5.555
20070724,5.58
20070725,5.555
20070726,5.599
20070727,5.603
20070730,5.607
20070731,5.599
20070801,5.606
20070802,5.592
20070803,5.58
20070806,5.582
20070807,5.572
20070808,5.584
20070809,5.599
20070810,5.598
20070813,5.609
20070814,5.702
20070815,5.722
20070816,5.769
20070817,5.726
20070820,5.765
20070821,5.797
20070822,5.784
20070823,5.784
20070824,5.784
20070827,5.77
20070828,5.773
20070829,5.8
20070830,5.804
20070831,5.789
20070903,5.786
20070904,5.786
20070905,5.776
20070906,5.763
20070907,5.772
20070910,5.766
20070911,5.743
20070912,5.74
20070913,5.609
20070914,5.626
20070917,5.663
20070918,5.671
20070919,5.64
20070920,5.663
20070921,5.685
20070924,5.685
20070925,5.704
20070926,5.705
20070927,5.706
20070928,5.7
20071001,5.702
20071002,5.703
20071003,5.719
20071004,5.724
20071005,5.725
20071008,5.72
20071009,5.715
20071010,5.708
20071011,5.713
20071012,5.709
20071015,5.765
20071016,5.792
20071017,5.795
20071018,5.79
20071019,5.728
20071022,5.635
20071023,5.539
20071024,5.519
20071025,5.457
20071026,5.489
20071029,5.487
20071030,5.496
20071031,5.514
20071101,5.508
20071102,5.526
20071105,5.592
20071106,5.63
20071107,5.635
20071108,5.619
20071109,5.612
20071112,5.633
20071113,5.66
20071114,5.676
20071115,5.724
20071116,5.736
20071119,5.763
20071120,5.78
20071121,5.814
20071122,5.841
20071123,5.848
20071126,5.846
20071127,5.804
20071128,5.723
20071129,5.73
20071130,5.777
20071203,5.848
20071204,5.827
20071205,5.752
20071206,5.78
20071207,5.785
20071210,5.825
20071211,5.836
20071212,5.853
20071213,5.87
20071214,5.907
20071217,5.985
20071218,5.952
20071219,5.92
20071220,5.919
20071221,5.913
20071224,5.91
20071225,5.91
20071226,5.91
20071227,5.916
20071228,5.919
20071231,5.916
20080101,5.916
20080102,5.967
20080103,5.953
20080104,5.924
20080107,5.924
20080108,5.893
20080109,5.867
20080110,5.844
20080111,5.883
20080114,5.881
20080115,5.855
20080116,5.87
20080117,5.839
20080118,5.847
20080121,5.83
20080122,5.793
20080123,5.769
20080124,5.787
20080125,5.783
20080128,5.722
20080129,5.708
20080130,5.74
20080131,5.688
20080201,5.638
20080204,5.645
20080205,5.64
20080206,5.686
20080207,5.692
20080208,5.785
20080211,5.777
20080212,5.799
20080213,5.794
20080214,5.822
20080215,5.882
20080218,5.907
20080219,5.899
20080220,5.934
20080221,5.95
20080222,5.944
20080225,5.943
20080226,5.917
20080227,5.946
20080228,5.984
20080229,5.973
20080303,5.948
20080304,5.945
20080305,5.985
20080306,6.074
20080307,6.083
20080310,6.082
20080311,6.06
20080312,6.047
20080313,5.989
20080314,5.99
20080317,6.033
20080318,6.016
20080319,5.983
20080320,5.988
20080321,5.979
20080324,5.979
20080325,5.931
20080326,5.961
20080327,5.943
20080328,5.955
20080331,5.971
20080401,5.97
20080402,6.022
20080403,6.067
20080404,6.04
20080407,6.033
20080408,6.028
20080409,6.07
20080410,6.074
20080411,6.06
20080414,6.014
20080415,5.983
20080416,6.01
20080417,6.014
20080418,5.947
20080421,5.958
20080422,5.968
20080423,5.993
20080424,5.984
20080425,5.999
20080428,5.994
20080429,5.986
20080430,5.981
20080501,5.984
20080502,5.991
20080505,6.002
20080506,6.002
20080507,6.016
20080508,6.011
20080509,6.015
20080512,6.026
20080513,6.072
20080514,6.097
20080515,6.129
20080516,6.121
20080519,6.208
20080520,6.267
20080521,6.197
20080522,6.195
20080523,6.212
20080526,6.211
20080527,6.173
20080528,6.198
20080529,6.277
20080530,6.292
20080602,6.286
20080603,6.302
20080604,6.364
20080605,6.477
20080606,6.422
20080609,6.419
20080610,6.416
20080611,6.44
20080612,6.441
20080613,6.43
20080616,6.421
20080617,6.382
20080618,6.402
20080619,6.454
20080620,6.505
20080623,6.496
20080624,6.503
20080625,6.47
20080626,6.452
20080627,6.54
20080630,6.628
20080701,6.601
20080702,6.713
20080703,6.688
20080704,6.698
20080707,6.601
20080708,6.526
20080709,6.518
20080710,6.503
20080711,6.472
20080714,6.442
20080715,6.49
20080716,6.4
20080717,6.402
20080718,6.419
20080721,6.455
20080722,6.456
20080723,6.511
20080724,6.421
20080725,6.415
20080728,6.337
20080729,6.295
20080730,6.323
20080731,6.271
20080801,6.273
20080804,6.296
20080805,6.243
20080806,6.178
20080807,6.166
20080808,6.225
20080811,6.21
20080812,6.198
20080813,6.159
20080814,6.138
20080815,6.135
20080818,6.079
20080819,6.064
20080820,6.011
20080821,6.02
20080822,6.049
20080825,6.036
20080826,6.018
20080827,6.056
20080828,6.097
20080829,6.069
20080901,6.053
20080902,6.06
20080903,6.057
20080904,6.016
20080905,6.012
20080908,6.06
20080909,6.058
20080910,5.827
20080911,5.806
20080912,5.811
20080915,5.852
20080916,5.853
20080917,5.854
20080918,5.836
20080919,5.803
20080922,5.844
20080923,5.841
20080924,5.849
20080925,5.828
20080926,5.858
20080929,5.857
20080930,5.873
20081001,5.82
20081002,5.814
20081003,5.82
20081006,5.836
20081007,5.869
20081008,5.884
20081009,5.972
20081010,6.272
20081013,6.228
20081014,6.175
20081015,6.301
20081016,6.451
20081017,6.526
20081020,6.533
20081021,6.723
20081022,7.415
20081023,7.5
20081024,7.019
20081027,7.108
20081028,6.738
20081029,6.498
20081030,6.606
20081031,6.623
20081103,6.577
20081104,6.541
20081105,6.413
20081106,6.313
20081107,6.368
20081110,6.329
20081111,6.316
20081112,6.441
20081113,6.474
20081114,6.387
20081117,6.383
20081118,6.404
20081119,6.435
20081120,6.472
20081121,6.42
20081124,6.236
20081125,6.068
20081126,5.978
20081127,5.975
20081128,5.905
20081201,5.918
20081202,5.939
20081203,5.936
20081204,5.848
20081205,5.81
20081208,5.689
20081209,5.621
20081210,5.751
20081211,5.661
20081212,5.658
20081215,5.666
20081216,5.694
20081217,5.646
20081218,5.571
20081219,5.58
20081222,5.55
20081223,5.459
20081224,5.413
20081225,5.413
20081226,5.413
20081229,5.386
20081230,5.415
20081231,5.387
20090101,5.386
20090102,5.36
20090105,5.296
20090106,5.42
20090107,5.367
20090108,5.443
20090109,5.376
20090112,5.274
20090113,5.241
20090114,5.163
20090115,5.221
20090116,5.129
20090119,5.285
20090120,5.335
20090121,5.422
20090122,5.67
20090123,5.685
20090126,5.661
20090127,5.661
20090128,5.677
20090129,5.784
20090130,5.755
20090202,5.724
20090203,5.757
20090204,5.742
20090205,5.844
20090206,5.723
20090209,5.684
20090210,5.738
20090211,5.879
20090212,6.029
20090213,5.999
20090216,6.021
20090217,6.306
20090218,6.157
20090219,6.078
20090220,6.141
20090223,6.128
20090224,6.075
20090225,6.12
20090226,6.153
20090227,6.174
20090302,6.311
20090303,6.307
20090304,6.289
20090305,6.309
20090306,6.389
20090309,6.429
20090310,6.358
20090311,6.248
20090312,6.186
20090313,6.139
20090316,6.123
20090317,6.261
20090318,6.348
20090319,6.323
20090320,6.261
20090323,6.114
20090324,6.012
20090325,6.035
20090326,6.108
20090327,6.259
20090330,6.353
20090331,6.297
20090401,6.253
20090402,6.181
20090403,6.254
20090406,6.241
20090407,6.264
20090408,6.128
20090409,6.094
20090410,6.116
20090413,6.116
20090414,6.158
20090415,6.215
20090416,6.17
20090417,6.148
20090420,6.176
20090421,6.165
20090422,6.188
20090423,6.188
20090424,6.2
20090427,6.214
20090428,6.2
20090429,6.193
20090430,6.209
20090501,6.231
20090504,6.233
20090505,6.21
20090506,6.254
20090507,6.273
20090508,6.274
20090511,6.31
20090512,6.285
20090513,6.324
20090514,6.426
20090515,6.348
20090518,6.341
20090519,6.335
20090520,6.298
20090521,6.319
20090522,6.327
20090525,6.328
20090526,6.377
20090527,6.35
20090528,6.379
20090529,6.303
20090601,6.266
20090602,6.274
20090603,6.318
20090604,6.311
20090605,6.32
20090608,6.298
20090609,6.275
20090610,6.297
20090611,6.299
20090612,6.323
20090615,6.345
20090616,6.356
20090617,6.349
20090618,6.408
20090619,6.415
20090622,6.494
20090623,6.441
20090624,6.431
20090625,6.434
20090626,6.372
20090629,6.332
20090630,6.269
20090701,6.235
20090702,6.254
20090703,6.235
20090706,6.29
20090707,6.281
20090708,6.249
20090709,6.23
20090710,6.249
20090713,6.257
20090714,6.253
20090715,6.216
20090716,6.221
20090717,6.227
20090720,6.192
20090721,6.196
20090722,6.201
20090723,6.147
20090724,6.149
20090727,6.195
20090728,6.219
20090729,6.223
20090730,6.159
20090731,6.114
20090803,6.036
20090804,6.038
20090805,6.04
20090806,6.059
20090807,6.068
20090810,6.093
20090811,6.114
20090812,6.118
20090813,6.149
20090814,6.146
20090817,6.18
20090818,6.127
20090819,6.106
20090820,6.119
20090821,6.099
20090824,6.074
