Date,Rate
20070709,4.85
20070710,4.771
20070711,4.776
20070712,4.814
20070713,4.811
20070716,4.778
20070717,4.794
20070718,4.746
20070719,4.75
20070720,4.654
20070723,4.649
20070724,4.641
20070725,4.621
20070726,4.576
20070727,4.582
20070730,4.581
20070731,4.609
20070801,4.609
20070802,4.617
20070803,4.565
20070806,4.569
20070807,4.586
20070808,4.66
20070809,4.625
20070810,4.603
20070813,4.61
20070814,4.591
20070815,4.572
20070816,4.503
20070817,4.537
20070820,4.535
20070821,4.498
20070822,4.552
20070823,4.519
20070824,4.511
20070827,4.501
20070828,4.478
20070829,4.48
20070830,4.489
20070831,4.498
20070903,4.515
20070904,4.525
20070905,4.469
20070906,4.483
20070907,4.408
20070910,4.368
20070911,4.393
20070912,4.406
20070913,4.443
20070914,4.439
20070917,4.418
20070918,4.479
20070919,4.524
20070920,4.572
20070921,4.591
20070924,4.603
20070925,4.569
20070926,4.624
20070927,4.608
20070928,4.556
20071001,4.554
20071002,4.541
20071003,4.552
20071004,4.509
20071005,4.565
20071008,4.57
20071009,4.543
20071010,4.57
20071011,4.596
20071012,4.621
20071015,4.63
20071016,4.64
20071017,4.605
20071018,4.548
20071019,4.452
20071022,4.415
20071023,4.419
20071024,4.366
20071025,4.382
20071026,4.403
20071029,4.4
20071030,4.422
20071031,4.475
20071101,4.44
20071102,4.414
20071105,4.411
20071106,4.42
20071107,4.393
20071108,4.374
20071109,4.338
20071112,4.345
20071113,4.364
20071114,4.378
20071115,4.356
20071116,4.349
20071119,4.305
20071120,4.327
20071121,4.298
20071122,4.305
20071123,4.307
20071126,4.303
20071127,4.314
20071128,4.387
20071129,4.351
20071130,4.396
20071203,4.342
20071204,4.3
20071205,4.298
20071206,4.326
20071207,4.429
20071210,4.483
20071211,4.453
20071212,4.517
20071213,4.515
20071214,4.535
20071217,4.523
20071218,4.51
20071219,4.511
20071220,4.458
20071221,4.529
20071224,4.525
20071225,4.518
20071226,4.522
20071227,4.58
20071228,4.551
20071231,4.545
20080101,4.545
20080102,4.426
20080103,4.425
20080104,4.384
20080107,4.382
20080108,4.41
20080109,4.357
20080110,4.369
20080111,4.361
20080114,4.313
20080115,4.288
20080116,4.247
20080117,4.231
20080118,4.231
20080121,4.18
20080122,4.267
20080123,4.169
20080124,4.285
20080125,4.278
20080128,4.236
20080129,4.278
20080130,4.301
20080131,4.212
20080201,4.189
20080204,4.195
20080205,4.119
20080206,4.17
20080207,4.155
20080208,4.133
20080211,4.138
20080212,4.229
20080213,4.233
20080214,4.281
20080215,4.249
20080218,4.301
20080219,4.29
20080220,4.327
20080221,4.325
20080222,4.323
20080225,4.363
20080226,4.405
20080227,4.408
20080228,4.313
20080229,4.213
20080303,4.199
20080304,4.182
20080305,4.283
20080306,4.264
20080307,4.276
20080310,4.225
20080311,4.248
20080312,4.216
20080313,4.347
20080314,4.322
20080317,4.319
