Date,Rate
20070709,4.583
20070710,4.526
20070711,4.501
20070712,4.539
20070713,4.515
20070716,4.51
20070717,4.513
20070718,4.482
20070719,4.487
20070720,4.399
20070723,4.385
20070724,4.369
20070725,4.347
20070726,4.301
20070727,4.276
20070730,4.249
20070731,4.304
20070801,4.281
20070802,4.305
20070803,4.258
20070806,4.262
20070807,4.289
20070808,4.353
20070809,4.312
20070810,4.286
20070813,4.303
20070814,4.321
20070815,4.275
20070816,4.192
20070817,4.219
20070820,4.215
20070821,4.163
20070822,4.244
20070823,4.217
20070824,4.201
20070827,4.212
20070828,4.177
20070829,4.154
20070830,4.173
20070831,4.213
20070903,4.209
20070904,4.212
20070905,4.184
20070906,4.175
20070907,4.104
20070910,4.062
20070911,4.053
20070912,4.105
20070913,4.14
20070914,4.136
20070917,4.155
20070918,4.207
20070919,4.263
20070920,4.317
20070921,4.341
20070924,4.338
20070925,4.307
20070926,4.349
20070927,4.332
20070928,4.311
20071001,4.308
20071002,4.305
20071003,4.301
20071004,4.288
20071005,4.337
20071008,4.352
20071009,4.336
20071010,4.363
20071011,4.397
20071012,4.414
20071015,4.441
20071016,4.427
20071017,4.394
20071018,4.334
20071019,4.286
20071022,4.228
20071023,4.248
20071024,4.216
20071025,4.22
20071026,4.229
20071029,4.222
20071030,4.228
20071031,4.264
20071101,4.25
20071102,4.232
20071105,4.218
20071106,4.254
20071107,4.219
20071108,4.2
20071109,4.179
20071112,4.208
20071113,4.238
20071114,4.257
20071115,4.244
20071116,4.238
20071119,4.212
20071120,4.218
20071121,4.2
20071122,4.198
20071123,4.221
20071126,4.216
20071127,4.157
20071128,4.205
20071129,4.149
20071130,4.199
20071203,4.166
20071204,4.142
20071205,4.163
20071206,4.208
20071207,4.279
20071210,4.341
20071211,4.339
20071212,4.415
20071213,4.403
20071214,4.401
20071217,4.381
20071218,4.377
20071219,4.326
20071220,4.288
20071221,4.329
20071224,4.332
20071225,4.331
20071226,4.331
20071227,4.368
20071228,4.349
20071231,4.345
20080101,4.344
20080102,4.272
20080103,4.249
20080104,4.182
20080107,4.161
20080108,4.196
20080109,4.144
20080110,4.157
20080111,4.172
20080114,4.113
20080115,4.091
20080116,4.056
20080117,4.058
20080118,4.043
20080121,3.975
20080122,3.997
20080123,3.918
20080124,4.018
20080125,4.035
20080128,3.972
20080129,4.004
20080130,4.04
20080131,3.95
20080201,3.957
20080204,3.966
20080205,3.89
20080206,3.922
20080207,3.903
20080208,3.899
20080211,3.866
20080212,3.949
20080213,4.023
20080214,4.11
20080215,4.045
20080218,4.067
20080219,4.044
20080220,4.079
20080221,4.1
20080222,4.062
20080225,4.075
20080226,4.105
20080227,4.134
20080228,4.101
20080229,4.003
20080303,4.008
20080304,3.954
20080305,4.004
20080306,3.968
20080307,3.944
20080310,3.917
20080311,3.946
20080312,3.937
20080313,3.869
20080314,3.838
20080317,3.777
20080318,3.82
20080319,3.833
20080320,3.818
20080321,3.822
20080324,3.822
20080325,3.934
20080326,3.936
20080327,3.963
20080328,3.998
20080331,3.958
20080401,4.008
20080402,4.014
20080403,3.994
20080404,3.968
20080407,4.004
20080408,4.012
20080409,4.001
20080410,4.039
20080411,4.017
20080414,4.04
20080415,4.064
20080416,4.115
20080417,4.167
20080418,4.218
20080421,4.195
20080422,4.22
20080423,4.188
20080424,4.19
20080425,4.202
20080428,4.209
20080429,4.151
20080430,4.113
20080501,4.113
20080502,4.173
20080505,4.13
20080506,4.071
20080507,4.13
20080508,4.07
20080509,4.015
20080512,4.039
20080513,4.109
20080514,4.176
20080515,4.168
20080516,4.171
20080519,4.218
20080520,4.163
20080521,4.224
20080522,4.315
20080523,4.234
20080526,4.262
20080527,4.316
20080528,4.362
20080529,4.449
20080530,4.387
20080602,4.35
20080603,4.388
20080604,4.339
20080605,4.336
20080606,4.337
20080609,4.328
20080610,4.336
20080611,4.374
20080612,4.442
20080613,4.48
20080616,4.531
20080617,4.498
20080618,4.46
20080619,4.473
20080620,4.466
20080623,4.438
20080624,4.453
20080625,4.478
20080626,4.446
