Date,Rate
20070927,4.687
20070928,4.715
20071001,4.718
20071002,4.737
20071003,4.741
20071004,4.744
20071005,4.74
20071008,4.75
20071009,4.733
20071010,4.742
20071011,4.758
20071012,4.754
20071015,4.789
20071016,4.812
20071017,4.786
20071018,4.786
20071019,4.777
20071022,4.744
20071023,4.762
20071024,4.762
20071025,4.722
20071026,4.706
20071029,4.689
20071030,4.765
20071031,4.765
20071101,4.738
20071102,4.672
20071105,4.708
20071106,4.706
20071107,4.648
20071108,4.702
20071109,4.576
20071112,4.71
20071113,4.688
20071114,4.723
20071115,4.698
20071116,4.716
20071119,4.683
20071120,4.703
20071121,4.648
20071122,4.697
20071123,4.7
20071126,4.7
20071127,4.684
20071128,4.691
20071129,4.69
20071130,4.695
20071203,4.682
20071204,4.65
20071206,4.639
20071207,4.642
20071210,4.663
20071211,4.657
20071212,4.653
20071213,4.654
20071214,4.668
20071217,4.686
20071218,4.694
20071219,4.693
20071220,4.689
20071221,4.685
20071224,4.67
20071225,4.669
20071226,4.669
20071227,4.685
20071228,4.675
20071231,4.67
20080101,4.67
20080102,4.669
20080103,4.652
20080104,4.643
20080107,4.614
20080108,4.614
20080109,4.604
20080110,4.599
20080111,4.599
20080114,4.611
20080115,4.611
20080116,4.497
20080117,4.497
20080118,4.51
20080121,4.527
20080122,4.409
20080123,4.524
20080124,4.52
20080125,4.542
20080128,4.5
20080129,4.492
20080130,4.548
20080131,4.548
20080201,4.49
20080204,4.544
20080205,4.527
20080206,4.494
20080207,4.493
20080208,4.51
20080211,4.525
20080212,4.523
20080213,4.519
20080214,4.544
20080215,4.616
20080218,4.495
20080219,4.496
20080220,4.548
20080221,4.499
20080222,4.612
20080225,4.497
20080226,4.492
20080227,4.491
20080228,4.477
20080229,4.459
20080303,4.446
20080304,4.356
20080305,4.482
20080306,4.474
20080307,4.503
20080310,4.502
20080311,4.509
20080312,4.509
20080313,4.467
20080314,4.467
20080317,4.465
20080318,4.482
20080319,4.499
20080320,4.43
20080321,4.43
20080324,4.43
20080325,4.492
20080326,4.518
20080327,4.511
20080328,4.504
20080331,4.514
20080401,4.523
20080402,4.518
20080403,4.532
20080404,4.549
20080407,4.529
20080408,4.534
20080409,4.541
20080410,4.532
20080411,4.526
20080414,4.598
20080415,4.535
20080416,4.604
20080417,4.596
20080418,4.613
20080421,4.613
20080422,4.641
20080423,4.638
20080424,4.685
20080425,4.684
20080428,4.699
20080429,4.647
20080430,4.588
20080501,4.588
20080502,4.595
20080505,4.609
20080506,4.521
20080507,4.521
20080508,4.521
20080509,4.431
20080512,4.431
20080513,4.712
20080514,4.688
20080515,4.713
20080516,4.713
20080519,4.595
20080520,4.626
20080521,4.652
20080522,4.689
20080523,4.688
20080526,4.674
20080527,4.701
20080528,4.725
20080529,4.727
20080530,4.715
20080602,4.748
20080603,4.813
20080604,4.766
20080605,4.835
20080606,4.812
20080609,4.812
20080612,4.918
20080613,4.969
20080616,4.964
20080617,4.931
20080618,4.937
20080619,4.95
20080620,4.949
20080623,4.968
20080624,4.966
20080625,5.044
20080626,5.049
20080627,5.042
20080630,5.071
20080701,5.036
20080702,5.172
20080703,5.127
20080704,5.103
20080707,5.096
20080708,5.087
20080709,5.082
20080710,5.076
20080711,5.077
20080714,5.065
20080715,5.046
20080716,5.056
20080717,5.083
20080718,5.147
20080721,5.206
20080722,5.213
20080723,5.241
20080724,5.241
20080725,5.187
20080728,5.129
20080729,5.148
20080730,5.096
20080731,5.049
20080801,5.119
20080804,5.054
20080805,5.008
20080806,4.998
20080807,4.993
20080808,4.986
20080811,4.993
20080812,4.965
20080813,4.957
20080814,4.941
20080815,4.956
20080818,4.885
20080819,4.859
20080820,4.877
20080821,4.9
20080822,4.906
20080825,4.909
20080826,4.89
20080827,4.983
20080828,4.944
20080829,4.911
20080901,4.852
20080902,4.939
20080903,4.945
20080904,4.928
20080905,4.871
20080908,4.898
20080909,4.879
20080910,4.894
20080911,4.896
20080912,4.916
20080915,5.009
20080916,4.968
20080917,4.988
20080918,5.054
20080919,5.082
20080922,5.06
20080923,5.096
20080924,5.109
20080925,5.04
20080926,5.01
20080929,5.037
20080930,5.014
20081001,4.957
20081002,4.957
20081003,4.927
20081006,4.766
20081007,4.72
20081008,4.832
20081009,4.864
20081010,4.951
20081013,5.067
20081014,5.08
20081015,5.11
20081016,5.043
20081017,4.98
20081020,5.036
20081021,4.955
20081022,4.921
20081023,4.868
20081024,4.842
20081027,4.885
20081028,4.807
20081029,4.738
20081030,4.733
20081031,4.853
20081103,4.837
20081104,4.852
20081105,4.843
20081106,4.805
20081107,4.756
20081110,4.798
20081111,4.826
20081112,4.848
20081113,4.789
20081114,4.668
20081117,4.656
20081118,4.687
20081119,4.661
20081120,4.737
20081121,4.739
20081124,4.582
20081125,4.606
20081126,4.538
20081127,4.333
20081128,4.391
20081201,4.462
20081202,4.148
20081203,4.079
20081204,3.994
20081205,4.002
20081208,4.073
20081209,4.064
20081210,4.048
20081211,4.495
20081212,4.457
20081215,4.417
20081216,4.431
20081217,4.411
20081218,4.35
20081219,4.33
20081222,4.312
20081223,4.348
20081224,4.348
20081225,4.348
20081226,4.348
20081229,4.279
