Date,Rate
20070709,5.548
20070710,5.446
20070711,5.44
20070712,5.464
20070713,5.488
20070716,5.456
20070717,5.481
20070718,5.412
20070719,5.414
20070720,5.307
20070723,5.317
20070724,5.311
20070725,5.283
20070726,5.21
20070727,5.198
20070730,5.161
20070731,5.209
20070801,5.202
20070802,5.237
20070803,5.184
20070806,5.194
20070807,5.204
20070808,5.297
20070809,5.255
20070810,5.223
20070813,5.233
20070814,5.182
20070815,5.131
20070816,5.079
20070817,5.076
20070820,5.069
20070821,5.004
20070822,5.098
20070823,5.064
20070824,5.08
20070827,5.079
20070828,5.053
20070829,5.036
20070830,5.025
20070831,5.036
20070903,5.074
20070904,5.082
20070905,5.035
20070906,5.018
20070907,4.95
20070910,4.9
20070911,4.905
20070912,4.9
20070913,4.926
20070914,4.867
20070917,4.846
20070918,4.947
20070919,4.992
20070920,5.037
20070921,5.09
20070924,5.072
20070925,5.025
20070926,5.058
20070927,5.064
20070928,5.011
20071001,4.993
20071002,4.964
20071003,4.966
20071004,4.941
20071005,4.954
20071008,4.949
20071009,4.895
20071010,4.982
20071011,5.022
20071012,5.077
20071015,5.087
20071016,5.075
20071017,5.028
20071018,4.969
20071019,4.889
20071022,4.879
20071023,4.891
20071024,4.84
20071025,4.849
20071026,4.846
20071029,4.848
20071030,4.872
20071031,4.928
20071101,4.919
20071102,4.865
20071105,4.856
20071106,4.865
20071107,4.83
20071108,4.781
20071109,4.737
20071112,4.753
20071113,4.75
20071114,4.737
20071115,4.676
20071116,4.635
20071119,4.608
20071120,4.618
20071121,4.56
20071122,4.525
20071123,4.564
20071126,4.557
20071127,4.59
20071128,4.681
20071129,4.575
20071130,4.637
20071203,4.584
20071204,4.53
20071205,4.487
20071206,4.549
20071207,4.641
20071210,4.698
20071211,4.67
20071212,4.802
20071213,4.764
20071214,4.791
20071217,4.756
20071218,4.75
20071219,4.681
20071220,4.589
20071221,4.64
20071224,4.595
20071225,4.597
20071226,4.59
20071227,4.633
20071228,4.557
